Index des jours,Average_timespent_per_person
12/1/2020,0:00:00
13/01/2020,0:00:00
14/01/2020,0:00:16
15/01/2020,0:00:27
16/01/2020,0:01:07
17/01/2020,0:00:10
18/01/2020,0:00:29
19/01/2020,0:00:26
20/01/2020,0:00:51
21/01/2020,0:00:34
22/01/2020,0:00:53
23/01/2020,0:00:33
24/01/2020,0:00:42
25/01/2020,0:00:38
26/01/2020,0:00:45
27/01/2020,0:01:19
28/01/2020,0:00:18
29/01/2020,0:00:37
30/01/2020,0:00:52
31/01/2020,0:00:25
1/2/2020,0:00:22
2/2/2020,0:00:31
3/2/2020,0:00:40
4/2/2020,0:00:34
5/2/2020,0:00:25
6/2/2020,0:00:31
7/2/2020,0:00:22
8/2/2020,0:01:02
9/2/2020,0:00:16
10/2/2020,0:00:31
11/2/2020,0:00:22
12/2/2020,0:00:23
13/02/2020,0:00:19
14/02/2020,0:00:31
15/02/2020,0:00:29
16/02/2020,0:00:22
17/02/2020,0:00:32
18/02/2020,0:00:17
19/02/2020,0:00:30
20/02/2020,0:00:18
21/02/2020,0:00:46
22/02/2020,0:00:29
23/02/2020,0:00:31
24/02/2020,0:00:27
25/02/2020,0:00:36
26/02/2020,0:00:21
27/02/2020,0:00:25
28/02/2020,0:00:25
29/02/2020,0:00:24
1/3/2020,0:00:19
2/3/2020,0:00:24
3/3/2020,0:00:26
4/3/2020,0:00:23
5/3/2020,0:00:25
6/3/2020,0:00:31
7/3/2020,0:00:32
8/3/2020,0:00:15
9/3/2020,0:00:27
10/3/2020,0:00:52
11/3/2020,0:00:13
12/3/2020,0:00:31
13/03/2020,0:00:23
14/03/2020,0:00:22
15/03/2020,0:00:25
16/03/2020,0:00:21
17/03/2020,0:00:25
18/03/2020,0:00:30
19/03/2020,0:00:26
20/03/2020,0:01:22
21/03/2020,0:00:29
22/03/2020,0:00:22
23/03/2020,0:00:43
24/03/2020,0:00:18
25/03/2020,0:00:39
26/03/2020,0:02:36
27/03/2020,0:00:19
28/03/2020,0:00:35
29/03/2020,0:00:40
30/03/2020,0:00:16
31/03/2020,0:00:20
1/4/2020,0:03:52
2/4/2020,0:00:16
3/4/2020,0:00:21
4/4/2020,0:00:25
5/4/2020,0:00:19
6/4/2020,0:00:36
7/4/2020,0:00:18
8/4/2020,0:00:24
9/4/2020,0:00:45
10/4/2020,0:00:13
11/4/2020,0:00:36
12/4/2020,0:00:24
13/04/2020,0:00:22
14/04/2020,0:00:36
15/04/2020,0:00:30
16/04/2020,0:00:16
17/04/2020,0:00:24
18/04/2020,0:00:23
19/04/2020,0:00:30
20/04/2020,0:00:32
21/04/2020,0:00:48
22/04/2020,0:00:27
23/04/2020,0:00:44
24/04/2020,0:00:13
25/04/2020,0:00:29
26/04/2020,0:00:29
27/04/2020,0:00:21
28/04/2020,0:00:20
29/04/2020,0:00:24
30/04/2020,0:00:23
1/5/2020,0:00:21
2/5/2020,0:00:22
3/5/2020,0:00:20
4/5/2020,0:00:24
5/5/2020,0:00:21
6/5/2020,0:00:26
7/5/2020,0:00:25
8/5/2020,0:00:33
9/5/2020,0:00:21
10/5/2020,0:00:23
11/5/2020,0:00:23
12/5/2020,0:00:25
13/05/2020,0:00:38
14/05/2020,0:00:30
15/05/2020,0:00:27
16/05/2020,0:00:26
17/05/2020,0:00:26
18/05/2020,0:00:29
19/05/2020,0:00:31
20/05/2020,0:00:30
21/05/2020,0:00:41
22/05/2020,0:00:30
23/05/2020,0:00:53
24/05/2020,0:00:49
25/05/2020,0:00:21
26/05/2020,0:00:45
27/05/2020,0:00:26
28/05/2020,0:00:39
29/05/2020,0:00:30
30/05/2020,0:00:25
31/05/2020,0:00:42
1/6/2020,0:01:46
2/6/2020,0:00:29
3/6/2020,0:00:23
4/6/2020,0:00:50
5/6/2020,0:00:47
6/6/2020,0:00:31
7/6/2020,0:00:33
8/6/2020,0:00:47
9/6/2020,0:01:09
10/6/2020,0:01:08
11/6/2020,0:00:21
12/6/2020,0:00:00
13/06/2020,0:00:00
14/06/2020,0:00:00
15/06/2020,0:00:00
16/06/2020,0:00:00
17/06/2020,0:00:00
18/06/2020,0:00:00
19/06/2020,0:00:00
20/06/2020,0:00:00
21/06/2020,0:00:00
22/06/2020,0:00:00
23/06/2020,0:00:00
24/06/2020,0:00:00
25/06/2020,0:00:00
26/06/2020,0:00:00
27/06/2020,0:00:00
28/06/2020,0:00:00
29/06/2020,0:00:00
30/06/2020,0:00:00
1/7/2020,0:00:00
2/7/2020,0:00:00
3/7/2020,0:00:00
4/7/2020,0:00:00
5/7/2020,0:00:00
6/7/2020,0:00:00
7/7/2020,0:00:00
8/7/2020,0:00:00
9/7/2020,0:00:00
10/7/2020,0:00:00
11/7/2020,0:00:00
12/7/2020,0:00:00
13/07/2020,0:00:00
14/07/2020,0:00:00
15/07/2020,0:00:00
16/07/2020,0:00:00
17/07/2020,0:00:00
18/07/2020,0:00:24
19/07/2020,0:00:25
20/07/2020,0:00:23
21/07/2020,0:00:23
22/07/2020,0:00:23
23/07/2020,0:00:23
24/07/2020,0:00:23
25/07/2020,0:00:22
26/07/2020,0:00:21
27/07/2020,0:00:27
28/07/2020,0:00:24
29/07/2020,0:00:32
30/07/2020,0:00:37
31/07/2020,0:00:43
1/8/2020,0:00:49
2/8/2020,0:00:48
3/8/2020,0:00:42
4/8/2020,0:00:42
5/8/2020,0:00:39
6/8/2020,0:00:49
7/8/2020,0:00:50
8/8/2020,0:00:51
9/8/2020,0:01:31
10/8/2020,0:01:00
11/8/2020,0:01:00
12/8/2020,0:00:46
13/08/2020,0:00:43
14/08/2020,0:00:45
15/08/2020,0:00:34
16/08/2020,0:00:42
17/08/2020,0:00:42
18/08/2020,0:00:47
19/08/2020,0:00:41
20/08/2020,0:00:43
21/08/2020,0:00:39
22/08/2020,0:00:45
23/08/2020,0:00:37
24/08/2020,0:00:40
25/08/2020,0:00:53
26/08/2020,0:00:50
27/08/2020,0:00:43
28/08/2020,0:00:44
29/08/2020,0:00:36
30/08/2020,0:00:42
31/08/2020,0:00:46
1/9/2020,0:00:38
2/9/2020,0:00:39
3/9/2020,0:00:40
4/9/2020,0:00:35
5/9/2020,0:00:44
6/9/2020,0:00:40
7/9/2020,0:00:42
8/9/2020,0:00:40
9/9/2020,0:00:44
10/9/2020,0:00:41
11/9/2020,0:00:46
12/9/2020,0:00:39
13/09/2020,0:00:38
14/09/2020,0:00:37
15/09/2020,0:00:40
16/09/2020,0:00:35
17/09/2020,0:00:38
18/09/2020,0:00:43
19/09/2020,0:00:42
20/09/2020,0:00:38
21/09/2020,0:00:46
22/09/2020,0:00:43
23/09/2020,0:00:49
24/09/2020,0:00:39
25/09/2020,0:00:52
