date,nbr_users
7/18/2020,1123
7/19/2020,2687
7/20/2020,2374
7/21/2020,1271
7/22/2020,1120
7/23/2020,1669
7/24/2020,1737
7/25/2020,1445
7/26/2020,1280
7/27/2020,1149
7/28/2020,1281
7/29/2020,651
7/30/2020,444
7/31/2020,279
8/1/2020,185
8/2/2020,266
8/3/2020,526
8/4/2020,1073
8/5/2020,542
8/6/2020,388
8/7/2020,195
8/8/2020,109
8/9/2020,76
8/10/2020,61
8/11/2020,62
8/12/2020,336
8/13/2020,386
8/14/2020,420
8/15/2020,464
8/16/2020,468
8/17/2020,404
8/18/2020,225
8/19/2020,224
8/20/2020,258
8/21/2020,182
8/22/2020,172
8/23/2020,218
8/24/2020,171
8/25/2020,200
8/26/2020,161
8/27/2020,210
8/28/2020,131
8/29/2020,203
8/30/2020,242
8/31/2020,205
9/1/2020,351
9/2/2020,372
9/3/2020,407
9/4/2020,323
9/5/2020,354
9/6/2020,581
9/7/2020,402
9/8/2020,231
9/9/2020,221
9/10/2020,282
9/11/2020,211
9/12/2020,274
9/13/2020,285
9/14/2020,263
9/15/2020,236
9/16/2020,301
9/17/2020,477
9/18/2020,406
9/19/2020,245
9/20/2020,461
9/21/2020,242
9/22/2020,180
9/23/2020,224
9/24/2020,299
9/25/2020,132
9/26/2020,239
9/27/2020,265
9/28/2020,140
9/29/2020,161
9/30/2020,257
10/1/2020,265
10/2/2020,162
10/3/2020,202
10/4/2020,403
10/5/2020,509
10/6/2020,388
10/7/2020,336
10/8/2020,288
10/9/2020,308
10/10/2020,232
10/11/2020,369
10/12/2020,267
10/13/2020,331
10/14/2020,365
10/15/2020,356
10/16/2020,338
10/17/2020,285
10/18/2020,448
10/19/2020,295
10/20/2020,292
10/21/2020,255
10/22/2020,348
10/23/2020,305
10/24/2020,203
10/25/2020,211
10/26/2020,220
10/27/2020,319
10/28/2020,345
10/29/2020,240
10/30/2020,340
10/31/2020,238
11/1/2020,186
11/2/2020,162
11/3/2020,184
11/4/2020,142
11/5/2020,149
11/6/2020,252
11/7/2020,487
11/8/2020,272
11/9/2020,189
11/10/2020,241
11/11/2020,181
11/12/2020,168
11/13/2020,206
11/14/2020,178
11/15/2020,166
11/16/2020,158
11/17/2020,196
11/18/2020,178
11/19/2020,368
11/20/2020,303
11/21/2020,293
11/22/2020,198
11/23/2020,285
11/24/2020,251
11/25/2020,228
11/26/2020,272
11/27/2020,474
11/28/2020,301
11/29/2020,503
11/30/2020,628
12/1/2020,230
12/2/2020,331
12/3/2020,339
12/4/2020,243
12/5/2020,186
12/6/2020,245
12/7/2020,192
12/8/2020,209
12/9/2020,184
12/10/2020,113
12/11/2020,121
12/12/2020,106
12/13/2020,87
12/14/2020,126
12/15/2020,134
12/16/2020,137
12/17/2020,108
12/18/2020,104
12/19/2020,111
12/20/2020,136
12/21/2020,254
12/22/2020,142
12/23/2020,102
12/24/2020,83
12/25/2020,107
12/26/2020,145
12/27/2020,290
12/28/2020,246
12/29/2020,168
12/30/2020,116
12/31/2020,68
1/1/2021,93
1/2/2021,77
1/3/2021,165
1/4/2021,128
1/5/2021,85
1/6/2021,151
1/7/2021,174
1/8/2021,148
1/9/2021,133
1/10/2021,159
1/11/2021,160
1/12/2021,186
1/13/2021,206
1/14/2021,162
1/15/2021,167
1/16/2021,254
1/17/2021,202
1/18/2021,146
1/19/2021,177
1/20/2021,150
1/21/2021,105
1/22/2021,178
1/23/2021,140
1/24/2021,287
1/25/2021,121
1/26/2021,92
1/27/2021,95
1/28/2021,114
1/29/2021,161
1/30/2021,144
